scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,finalCanER,ERStartYear,EREndYear,usER,cvERcan,cvERam,cvERSMU,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,prodTrendLength,prodStartYear,prodEndYear,prodRegimeLen,ampSinProd,sinCycleLen,capRegime,capPpnChange,capTrendLength,capStartYear,capEndYear,capRegimeLen,sigRegime,sigShiftYear,rho,arSigTransform,biasCor,correlCU,corrMat,sampCU_coef1,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,agePpnConst,rCap,HCRtype,NoAssess
ER0.000,stationary_er0,fixedER,prodRegime,1,chinook,15,fixedER,none,0,0,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.050,stationary_er0.05,fixedER,prodRegime,1,chinook,15,fixedER,none,0.05,0.05,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.100,stationary_er0.100,fixedER,prodRegime,1,chinook,15,fixedER,none,0.1,0.1,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.150,stationary_er0.150,fixedER,prodRegime,1,chinook,15,fixedER,none,0.15,0.15,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.200,stationary_er0.200,fixedER,prodRegime,1,chinook,15,fixedER,none,0.2,0.2,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.250,stationary_er0.250,fixedER,prodRegime,1,chinook,15,fixedER,none,0.25,0.25,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.300,stationary_er0.300,fixedER,prodRegime,1,chinook,15,fixedER,none,0.3,0.3,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.350,stationary_er0.350,fixedER,prodRegime,1,chinook,15,fixedER,none,0.35,0.35,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.400,stationary_er0.400,fixedER,prodRegime,1,chinook,15,fixedER,none,0.4,0.4,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
ER0.450,stationary_er0.450,fixedER,prodRegime,1,chinook,15,fixedER,none,0.45,0.45,1,15,0.04,0.1,0.1,NA,1,FALSE,FALSE,stable,1,NA,NA,NA,NA,NA,NA,stable,1,NA,NA,NA,NA,stable,NA,0.66,TRUE,FALSE,0,TRUE,FALSE,0,0.1,0,0,0,0,0,0,NA,1,1,1,1,TRUE,5,fixed,TRUE
